Speed, Unit, Time
24,Mbps,Wed Nov  1 04:31:10 2017
24,Mbps,Wed Nov  1 04:33:10 2017
25,Mbps,Wed Nov  1 04:34:11 2017
24,Mbps,Wed Nov  1 04:35:11 2017
25,Mbps,Wed Nov  1 04:36:11 2017
24,Mbps,Wed Nov  1 04:37:11 2017
23,Mbps,Wed Nov  1 04:38:12 2017
24,Mbps,Wed Nov  1 04:39:12 2017
25,Mbps,Wed Nov  1 04:40:12 2017
24,Mbps,Wed Nov  1 04:41:13 2017
25,Mbps,Wed Nov  1 04:42:13 2017
24,Mbps,Wed Nov  1 04:43:13 2017
24,Mbps,Wed Nov  1 04:44:13 2017
23,Mbps,Wed Nov  1 04:45:14 2017
23,Mbps,Wed Nov  1 04:46:14 2017
24,Mbps,Wed Nov  1 04:47:14 2017
24,Mbps,Wed Nov  1 04:48:15 2017
21,Mbps,Wed Nov  1 04:49:15 2017
26,Mbps,Wed Nov  1 04:50:15 2017
24,Mbps,Wed Nov  1 04:51:16 2017
24,Mbps,Wed Nov  1 04:52:16 2017
23,Mbps,Wed Nov  1 04:53:16 2017
25,Mbps,Wed Nov  1 04:54:16 2017
14,Mbps,Wed Nov  1 04:55:17 2017
24,Mbps,Wed Nov  1 04:56:17 2017
23,Mbps,Wed Nov  1 04:57:17 2017
22,Mbps,Wed Nov  1 04:58:18 2017
25,Mbps,Wed Nov  1 04:59:18 2017
23,Mbps,Wed Nov  1 05:00:18 2017
24,Mbps,Wed Nov  1 05:01:18 2017
24,Mbps,Wed Nov  1 05:02:19 2017
24,Mbps,Wed Nov  1 05:03:19 2017
24,Mbps,Wed Nov  1 05:04:19 2017
24,Mbps,Wed Nov  1 05:05:19 2017
24,Mbps,Wed Nov  1 05:06:20 2017
24,Mbps,Wed Nov  1 05:07:20 2017
24,Mbps,Wed Nov  1 05:08:20 2017
24,Mbps,Wed Nov  1 05:09:21 2017
24,Mbps,Wed Nov  1 05:10:21 2017
24,Mbps,Wed Nov  1 05:11:21 2017
24,Mbps,Wed Nov  1 05:12:21 2017
24,Mbps,Wed Nov  1 05:13:22 2017
25,Mbps,Wed Nov  1 05:14:22 2017
23,Mbps,Wed Nov  1 05:15:22 2017
22,Mbps,Wed Nov  1 05:16:23 2017
25,Mbps,Wed Nov  1 05:17:23 2017
24,Mbps,Wed Nov  1 05:18:23 2017
24,Mbps,Wed Nov  1 05:19:23 2017
24,Mbps,Wed Nov  1 05:20:24 2017
24,Mbps,Wed Nov  1 05:21:24 2017
24,Mbps,Wed Nov  1 05:22:24 2017
23,Mbps,Wed Nov  1 05:23:25 2017
24,Mbps,Wed Nov  1 05:24:25 2017
23,Mbps,Wed Nov  1 05:25:25 2017
25,Mbps,Wed Nov  1 05:26:25 2017
23,Mbps,Wed Nov  1 05:27:26 2017
24,Mbps,Wed Nov  1 05:28:26 2017
24,Mbps,Wed Nov  1 05:29:26 2017
24,Mbps,Wed Nov  1 05:30:27 2017
25,Mbps,Wed Nov  1 05:31:27 2017
24,Mbps,Wed Nov  1 05:32:27 2017
